SCENARIO,PURCHASES,CUSTOMERS,MERCHANDISE_REVENUE,AVG_BASKET_VALUE,UNITS
all_purchases,94822,2001,427698.14,4.51,155628
exclude_rapid_repeat_candidates,86423,2001,393833.72,4.56,143345
