ITEM_KEY,ITEM_NAME,UNITS,PURCHASE_ITEM_ROWS,ROWS_WITH_PRICE,PRICE_ROW_COVERAGE_PCT
7aef490acb1ca55f113afe02977b9e8f,"Tony’s Chocolonely Dark Milk Brownie Chocolate, 180 g",47136,29712,0,0.00
e9c4aa9e65917445495602a4adc16675,"Funny-Frisch Kettle Chips Sweet Chilli & Red Pepper, 120 g",41442,31994,0,0.00
2f605027e796b8c1d897c6100903c6d7,"Fuego salsa dip, mild, 200 ml",8268,7081,7081,100.00
7581487f9a0d33775d570f020b0e4141,"Yogurette Strawberry Yogurt Chocolate, 100 g",2817,2048,2048,100.00
0e706671fbc1c66c6276653846b1c1ac,"Ferrero Kinder Country Chocolate Bar, (9x23,5 g), 211,5 g",2343,2092,2092,100.00
0057c74ea984d23e711ccc0c0d224e5a,"Doritos Cheese Nachos, 110 g",2136,1971,1971,100.00
a5e0be3a6e03f5ca59260103e58835d2,"Lay's Salt & Vinegar Crisps, 150 g",2014,1944,1944,100.00
971c3d87aff5615604a3d1ef052d8cd9,"Chio Dip Hot Cheese, 200 ml",1942,1854,0,0.00
d3dffe73c943311024ef5b4b71e3f598,"Lay's Crips herb butter flavour, 150 g",1811,1741,1741,100.00
514473c47399dfac41b754ddf7fd5d94,"Funny-Frisch Lentil Crisps Paprika Style, 90 g",1708,1632,0,0.00
edb0f4aa63864fc9a85372d15cb65440,Ja! Cookies American Style Chocolate Chip 225 g,1680,1365,1365,100.00
13fe423f6a47156a00beee842eafc061,"Lorenz Naturals Rosemary Crisps, 95 g",1676,1622,1622,100.00
e98605036c98cd2c57d3eaf01e1c49ad,"Ritter Sport Chocolate Wafer, 100 g",1675,923,923,100.00
9b6c1ac419e38739c6276dcdb788bdcf,"Funny-Frisch Kettle Chips Salt & Vinegar, 120 g",1669,1608,1608,100.00
0aec6d843c7bd4fd176e7f6376dfb0c8,"Funny-Frisch Riffels Natural, 150 g",1608,1499,1499,100.00
7576ff6ee76ca4dfc28bf4fbaaf08465,"Ferrero Kinder Riegel Chocolate Bar, (10x21 g), 210 g",1474,1402,1402,100.00
92d78ca20860dd50a1748fe2b0c8dc78,"Storck Mini Dickmann’s Chocolate Trio, (24 units), 200 g",1415,910,0,0.00
