ITEM_KEY,CURRENT_ITEM_NAME,CURRENT_ITEM_CATEGORY,UNITS,PURCHASES,CUSTOMERS,UNITS_PER_PURCHASE,PROMO_UNITS,PROMO_UNIT_SHARE_PCT,PRICE_ROW_COVERAGE_PCT
40604bd20ff58f587f4849ea3a6673ac,"Veganz Chocolate Cookie, Organic, 150 g",Cookies,603,565,225,1.07,10,1.66,100.00
184794567e769594406f10b6826d88e4,"Griesson Soft Cake biscuits, orange milk, 300 g",Cookies,558,514,242,1.09,22,3.94,100.00
b9ed451639de565e319543836d6bb64c,"Storck Super Dickmann’s Chocolate Kisses, (9x30 g), 270 g",Other Confectionary,555,380,200,1.46,0,0.00,100.00
8848e81faf793f35004c01e760863f14,"Giotto Hazelnut Pastry, (4 bars), 154 g","Toffee, Fudge & Nougat",467,260,119,1.80,4,0.86,100.00
b920b20ae65b43819f8696b2a6efcb21,"Ferrero Nutella Nut Nougat Cream, 750 g",Chocolate & Sweet Spreads,342,335,156,1.02,23,6.73,100.00
9457e16e60a76e40ad486d39b0c4a8b1,"Frigeo Crispy Puffed Rice, 80 g",Other Confectionary,301,260,165,1.16,0,0.00,100.00
c8985169d2c82050e3f8ef7f73451c8d,"Storck Riesen Chocolate Toffees, 231 g","Toffee, Fudge & Nougat",232,177,85,1.31,0,0.00,100.00
2894f60b88078fb5b58fbf8dab0dbc63,"Ferrero Nutella & Go, 52 g",Chocolate & Sweet Spreads,212,209,119,1.01,6,2.83,100.00
97cf2b65eb7bffb35913eaa9234cef6e,"Storck Dickmann’s Schoko Strolche Chocolate Kisses, (10 units), 83 g",Other Confectionary,168,73,30,2.30,13,7.74,100.00
9f8bd236cf455c9fa6a5fb11146b9368,"Muh Muhs Original cream toffee, 215 g","Toffee, Fudge & Nougat",128,101,66,1.27,0,0.00,100.00
097ec47745d7c29c58ec58ff30db2c35,"Lay's Crisps Salted, 150 g",Crisp & Snacks,63,58,49,1.09,0,0.00,100.00
cfda38a00b0aed7f3d0f2dc905553c83,"Rapunzel Bionella Vegan Organic Nut Nougat Cream, 400 g",Chocolate & Sweet Spreads,57,56,35,1.02,1,1.75,100.00
1d9d7fc4e965863acf0b3ad8ff8b3074,"Lisa's organic kettle chips sour cream & onion, 125 g",Crisp & Snacks,40,40,33,1.00,0,0.00,100.00
008400fe0a12cc313b1b998c107cafea,Foodspring Protein Cream Hazelnut 200 g,Chocolate & Sweet Spreads,33,33,28,1.00,0,0.00,100.00
4cd94f965eb1982fdce03d81699b0838,"Storck Toffifee Caramel-Hazelnut Chocolates, (15 units), 125 g","Toffee, Fudge & Nougat",32,28,26,1.14,0,0.00,100.00
6bbc265b0d9702985b61186ef2cec617,"Nestlé Choco Crossies Crunchy Balls Milk Chocolate, 200 g",Other Confectionary,27,26,15,1.04,1,3.70,100.00
eb53c87b1ee83c0586a633daab87837f,"Ferrero Kinder Bueno Chocolate Bar, (10x21,5 g), 215 g",Chocolate,27,15,10,1.80,0,0.00,100.00
