ITEM_CATEGORY,PURCHASE_ITEM_ROWS,ROWS_WITH_PRICE,PRICE_ROW_COVERAGE_PCT,UNITS,UNITS_WITH_PRICE,PRICE_UNIT_COVERAGE_PCT
Crisp & Snacks,51527,51527,100.00,61844,61844,100.00
Chocolate,31382,31382,100.00,44647,44647,100.00
Other Confectionary,16631,16631,100.00,25104,25104,100.00
"Cheese Crackers, Breadsticks & Dipping",11342,11342,100.00,12759,12759,100.00
Cookies,8078,8078,100.00,9133,9133,100.00
Chocolate & Sweet Spreads,1269,1269,100.00,1282,1282,100.00
"Toffee, Fudge & Nougat",566,566,100.00,859,859,100.00
