ORDER_HOUR,ITEM_CATEGORY,UNITS,PURCHASES,CUSTOMERS
20,Chocolate & Sweet Spreads,87,85,52
20,"Toffee, Fudge & Nougat",39,28,21
21,Crisp & Snacks,1616,1136,641
21,Chocolate,1361,807,463
21,Other Confectionary,565,384,263
21,"Cheese Crackers, Breadsticks & Dipping",274,242,181
21,Cookies,195,159,119
21,Chocolate & Sweet Spreads,35,35,21
21,"Toffee, Fudge & Nougat",18,10,9
22,Crisp & Snacks,36,21,19
22,Chocolate,31,23,18
22,Other Confectionary,16,11,8
22,"Cheese Crackers, Breadsticks & Dipping",7,5,4
22,Cookies,3,3,1
22,Chocolate & Sweet Spreads,2,2,1
23,Crisp & Snacks,18,10,9
23,Chocolate,17,5,4
23,Other Confectionary,7,4,4
23,Cookies,5,5,5
23,"Cheese Crackers, Breadsticks & Dipping",4,3,3
