FIRST_PURCHASE_SEGMENT,CUSTOMERS,ELIGIBLE_30D_CUSTOMERS,RETURNED_WITHIN_30D_CUSTOMERS,RETURN_30D_RATE_PCT,RETURNED_BY_YEAR_END_CUSTOMERS,RETURNED_BY_YEAR_END_PCT,AVG_TOTAL_PURCHASES_IN_2023,AVG_DAYS_TO_SECOND_PURCHASE
no_promo_on_first_purchase,1957,1957,1590,81.25,1957,100.00,47.44,18.11
promo_on_first_purchase,44,44,36,81.82,44,100.00,45.09,20.18
